"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-04","0.00","0.0","0.0",,"95","78",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-05","0.00","0.0","0.0",,"98","79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-06","0.00","0.0","0.0",,"89","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-07","0.00","0.0","0.0",,"86","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-08","0.01","0.0","0.0",,"83","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-09","0.00","0.0","0.0",,"83","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-10","0.00","0.0","0.0",,"89","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-11","0.00","0.0","0.0",,"97","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-12","0.00","0.0","0.0",,"96","77",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-13","0.00","0.0","0.0",,"99","80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-14","3.10","0.0","0.0",,"96","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-15","0.02","0.0","0.0",,"77","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-16","0.00","0.0","0.0",,"76","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-17","0.00","0.0","0.0",,"88","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-18","0.00","0.0","0.0",,"81","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-19","0.75","0.0","0.0",,"77","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-20","0.00","0.0","0.0",,"83","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-21","0.00","0.0","0.0",,"93","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-22","0.00","0.0","0.0",,"89","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-23","0.00","0.0","0.0",,"82","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-24","0.00","0.0","0.0",,"80","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-25","0.00","0.0","0.0",,"82","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-26","0.00","0.0","0.0",,"84","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-27","0.00","0.0","0.0",,"81","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-28","0.01","0.0","0.0",,"81","73",
